transcript_id	num_clusters	high_coverage	low_coverage	high_quality_percent	low_quality_percent	start_wobble_list	end_wobble_list	collapse_sj_start_err	collapse_sj_end_err	collapse_error_nuc
G10.1	1	100.0	100.0	99.97	99.97	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G11.1	1	100.0	100.0	100.0	100.0	0	0	0	0	na
G12.1	1	99.89	99.89	99.83	99.83	0,0	0,0	0,0	0,0	0>0
G12.2	3	99.94	99.77	99.37	99.03	0,0	0,5	0,0	0,0	0>0
G12.3	1	99.94	99.94	99.94	99.94	0,0	0,0	0,0	0,0	0>0
G13.1	1	99.85	99.85	92.29	92.29	0	0	0	0	na
G14.1	1	99.95	99.95	99.22	99.22	0	0	0	0	na
G15.1	1	99.92	99.92	99.92	99.92	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G16.1	1	99.96	99.96	99.92	99.92	0,0,0	0,0,0	0,0,0	0,0,0	0>0;0>0
G17.1	1	99.93	99.93	99.78	99.78	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G17.2	1	100.0	100.0	99.85	99.85	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G17.3	1	100.0	100.0	99.78	99.78	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>2M_2.T.C;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G17.4	1	99.97	99.97	99.8	99.8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G18.1	1	100.0	100.0	99.82	99.82	0	0	0	0	na
G19.1	2	100.0	99.97	99.94	98.74	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0>0;1I_10M>0-0>0;0>7M_1I-0>0;0>0
G20.1	1	99.98	99.98	99.91	99.91	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0>0;0>0;0>0
G20.2	2	99.95	99.86	98.44	98.33	4,0,0,0	0,0,0,7	0,0,0,0	0,0,0,0	0>0;0>0;0>0
G21.1	1	100.0	100.0	99.92	99.92	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G22.1	1	100.0	100.0	99.93	99.93	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G23.1	1	99.98	99.98	99.91	99.91	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G24.1	1	99.97	99.97	99.97	99.97	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G24.2	1	100.0	100.0	99.94	99.94	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G24.3	1	100.0	100.0	100.0	100.0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G25.1	1	99.97	99.97	99.87	99.87	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G26.1	1	100.0	100.0	99.96	99.96	0	0	0	0	na
G27.1	1	99.98	99.98	99.84	99.84	0,0	0,0	0,0	0,0	0>0
G28.1	1	99.93	99.93	99.89	99.89	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G29.1	1	99.96	99.96	99.92	99.92	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G30.1	1	99.97	99.97	99.97	99.97	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G31.1	1	99.96	99.96	99.74	99.74	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;1.C.A>0;0>0;0>0;1D_6M>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G32.1	1	99.96	99.96	99.71	99.71	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0
G33.1	1	100.0	100.0	99.64	99.64	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G33.2	1	99.96	99.96	99.96	99.96	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G33.3	1	99.97	99.97	99.93	99.93	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G33.4	2	100.0	100.0	99.96	99.92	2,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,7	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G33.5	1	99.96	99.96	99.88	99.88	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G33.6	1	99.96	99.96	99.27	99.27	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;1I_6M>0
G34.1	1	99.9	99.9	99.9	99.9	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G35.1	1	99.94	99.94	99.38	99.38	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>9M_1D
G36.1	1	100.0	100.0	99.86	99.86	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0
G37.1	1	99.97	99.97	99.92	99.92	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
